rep_num,mcv,peak_velocity,vl_percent
1,1.396,2.57,0.0
2,0.207,0.345,-85.2
3,0.286,0.408,-79.5
4,0.134,0.18,-90.4
5,0.093,0.126,-93.3
6,0.071,0.094,-94.9
7,0.178,0.263,-87.2
8,0.091,0.118,-93.4
9,0.124,0.165,-91.1
10,0.065,0.102,-95.3
11,0.066,0.102,-95.3
12,0.084,0.114,-94.0
13,0.136,0.196,-90.3
14,0.076,0.09,-94.5
15,0.06,0.098,-95.7
16,0.079,0.106,-94.3
17,0.076,0.102,-94.6
18,0.052,0.094,-96.3
19,0.07,0.086,-95.0
20,0.114,0.173,-91.8
21,0.106,0.137,-92.4
22,0.153,0.196,-89.1
23,0.134,0.18,-90.4
24,0.115,0.169,-91.8
25,0.083,0.098,-94.1
26,0.098,0.133,-92.9
27,0.099,0.149,-92.9
28,0.115,0.153,-91.8
29,0.153,0.2,-89.0
30,0.149,0.228,-89.3
31,0.163,0.208,-88.3
32,0.148,0.212,-89.4
33,0.161,0.212,-88.5
34,0.144,0.216,-89.7
35,0.073,0.122,-94.7
36,0.09,0.133,-93.6
1,0.741,1.805,0.0
